Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country
493410,TEST001,This is a test product.,5,2010-01-04 09:24:00,4.5,12346.0,United Kingdom
C493411,21539,RETRO SPOTS BUTTER DISH,-1,2010-01-04 09:43:00,4.25,14590.0,United Kingdom
493412,TEST001,This is a test product.,5,2010-01-04 09:53:00,4.5,12346.0,United Kingdom
493413,21724,PANDA AND BUNNIES STICKER SHEET,1,2010-01-04 09:54:00,0.85,,United Kingdom
493413,84578,ELEPHANT TOY WITH BLUE T-SHIRT,1,2010-01-04 09:54:00,3.75,,United Kingdom
493413,21723,ALPHABET HEARTS STICKER SHEET,1,2010-01-04 09:54:00,0.85,,United Kingdom
493414,21844,RETRO SPOT MUG,36,2010-01-04 10:28:00,2.55,14590.0,United Kingdom
493414,21533,RETRO SPOT LARGE MILK JUG,12,2010-01-04 10:28:00,4.25,14590.0,United Kingdom
493414,37508,NEW ENGLAND CERAMIC CAKE SERVER,2,2010-01-04 10:28:00,2.55,14590.0,United Kingdom
493414,35001G,HAND OPEN SHAPE GOLD,2,2010-01-04 10:28:00,4.25,14590.0,United Kingdom
493414,21527,RETRO SPOT TRADITIONAL TEAPOT ,12,2010-01-04 10:28:00,6.95,14590.0,United Kingdom
493414,21531,RETRO SPOT SUGAR JAM BOWL,24,2010-01-04 10:28:00,2.1,14590.0,United Kingdom
C493415,21527,RETRO SPOT TRADITIONAL TEAPOT ,-3,2010-01-04 10:33:00,7.95,14590.0,United Kingdom
C493426,22109,FULL ENGLISH BREAKFAST PLATE,-1,2010-01-04 10:41:00,3.39,16550.0,United Kingdom
493427,82483,WOOD 2 DRAWER CABINET WHITE FINISH,4,2010-01-04 10:43:00,5.95,13287.0,United Kingdom
493427,21681,GIANT MEDINA STAMPED METAL BOWL ,2,2010-01-04 10:43:00,9.95,13287.0,United Kingdom
493427,21682,LARGE MEDINA STAMPED METAL BOWL ,4,2010-01-04 10:43:00,4.95,13287.0,United Kingdom
493427,18096C,WHITE ROUND PORCELAIN TLIGHT HOLDER,6,2010-01-04 10:43:00,2.55,13287.0,United Kingdom
493427,21577,SAVE THE PLANET COTTON TOTE BAG,6,2010-01-04 10:43:00,2.25,13287.0,United Kingdom
493427,21576,LETS GO SHOPPING COTTON TOTE BAG,6,2010-01-04 10:43:00,2.25,13287.0,United Kingdom
493427,37447,CERAMIC CAKE DESIGN SPOTTED PLATE,12,2010-01-04 10:43:00,1.49,13287.0,United Kingdom
493427,21232,STRAWBERRY CERAMIC TRINKET BOX,12,2010-01-04 10:43:00,1.25,13287.0,United Kingdom
493427,79000,MOROCCAN TEA GLASS,12,2010-01-04 10:43:00,0.85,13287.0,United Kingdom
493427,84499,BLACK FLOWER CANDLE PLATE,12,2010-01-04 10:43:00,0.85,13287.0,United Kingdom
493427,72780,BLACK SILOUETTE CANDLE PLATE,12,2010-01-04 10:43:00,0.85,13287.0,United Kingdom
493427,22214,CANDLE PLATE LACE WHITE,6,2010-01-04 10:43:00,2.55,13287.0,United Kingdom
493427,72369A,PINK CLEAR GLASS CANDLE PLATE,6,2010-01-04 10:43:00,1.25,13287.0,United Kingdom
493427,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,2010-01-04 10:43:00,4.25,13287.0,United Kingdom
493427,22178,VICTORIAN GLASS HANGING T-LIGHT,12,2010-01-04 10:43:00,1.25,13287.0,United Kingdom
493427,84615,PINK ROUND BUTTERFLY MIRROR ,2,2010-01-04 10:43:00,7.95,13287.0,United Kingdom
493427,84686,BEACH HUT MIRROR,2,2010-01-04 10:43:00,4.25,13287.0,United Kingdom
493427,21777,RECIPE BOX WITH METAL HEART,2,2010-01-04 10:43:00,7.95,13287.0,United Kingdom
493428,84563A,PINK & WHITE BREAKFAST TRAY,1,2010-01-04 11:15:00,5.95,16550.0,United Kingdom
493428,84562A,PINK/WHITE RIBBED MELAMINE JUG,1,2010-01-04 11:15:00,7.95,16550.0,United Kingdom
493428,22347,PIZZA SLICE DISH,6,2010-01-04 11:15:00,1.25,16550.0,United Kingdom
493428,21658,GLASS  BEURRE DISH,2,2010-01-04 11:15:00,3.95,16550.0,United Kingdom
493428,22084,PAPER CHAIN KIT EMPIRE,4,2010-01-04 11:15:00,2.95,16550.0,United Kingdom
493428,22083,PAPER CHAIN KIT RETRO SPOT,6,2010-01-04 11:15:00,2.95,16550.0,United Kingdom
493428,22197,"POPCORN HOLDER , SMALL ",6,2010-01-04 11:15:00,0.85,16550.0,United Kingdom
493428,22198,"POPCORN HOLDER , LARGE",6,2010-01-04 11:15:00,1.65,16550.0,United Kingdom
493428,84988,SET OF 72 PINK HEART PAPER DOILIES,10,2010-01-04 11:15:00,1.45,16550.0,United Kingdom
493428,21559,STRAWBERRY LUNCHBOX WITH CUTLERY,4,2010-01-04 11:15:00,2.55,16550.0,United Kingdom
493428,21558,SKULL LUNCHBOX WITH CUTLERY ,1,2010-01-04 11:15:00,2.55,16550.0,United Kingdom
493428,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,4,2010-01-04 11:15:00,2.55,16550.0,United Kingdom
493428,21561,DINOSAUR LUNCHBOX WITH CUTLERY,4,2010-01-04 11:15:00,2.55,16550.0,United Kingdom
493428,21622,VINTAGE UNION JACK CUSHION COVER,6,2010-01-04 11:15:00,4.95,16550.0,United Kingdom
493428,21411,GINGHAM HEART  DOORSTOP RED,2,2010-01-04 11:15:00,4.25,16550.0,United Kingdom
493428,20682,RED SPOTTY CHILDS UMBRELLA,2,2010-01-04 11:15:00,3.25,16550.0,United Kingdom
493428,20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,2,2010-01-04 11:15:00,3.25,16550.0,United Kingdom
493428,20681,PINK SPOTTY CHILDS UMBRELLA,2,2010-01-04 11:15:00,3.25,16550.0,United Kingdom
493428,20754,RETRO RED SPOTTY WASHING UP GLOVES,3,2010-01-04 11:15:00,2.1,16550.0,United Kingdom
493428,20752,RETRO BLUE SPOTTY WASHING UP GLOVES,3,2010-01-04 11:15:00,2.1,16550.0,United Kingdom
493428,22190,LOCAL CAFE MUG,4,2010-01-04 11:15:00,2.1,16550.0,United Kingdom
493428,21843,RETRO SPOT CAKE STAND,1,2010-01-04 11:15:00,10.95,16550.0,United Kingdom
493428,79320, FLAMINGO LIGHTS,2,2010-01-04 11:15:00,4.95,16550.0,United Kingdom
493428,79321,CHILLI LIGHTS,2,2010-01-04 11:15:00,4.95,16550.0,United Kingdom
C493430,21556,CERAMIC STRAWBERRY MONEY BOX,-1,2010-01-04 11:43:00,2.55,14680.0,United Kingdom
C493430,21232,STRAWBERRY CERAMIC TRINKET BOX,-2,2010-01-04 11:43:00,1.25,14680.0,United Kingdom
C493430,21527,RETRO SPOT TRADITIONAL TEAPOT ,-1,2010-01-04 11:43:00,7.95,14680.0,United Kingdom
C493430,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,2010-01-04 11:43:00,2.95,14680.0,United Kingdom
C493431,21533,RETRO SPOT LARGE MILK JUG,-1,2010-01-04 11:46:00,4.95,17372.0,United Kingdom
C493431,22066,LOVE HEART TRINKET POT,-4,2010-01-04 11:46:00,1.45,17372.0,United Kingdom
C493431,21432,SET OF 3 CASES WOODLAND DESIGN,-1,2010-01-04 11:46:00,5.95,17372.0,United Kingdom
493432,21488,RED WHITE SCARF  HOT WATER BOTTLE,1,2010-01-04 12:30:00,3.95,14680.0,United Kingdom
493432,84029E,RED WOOLLY HOTTIE WHITE HEART.,3,2010-01-04 12:30:00,3.75,14680.0,United Kingdom
493432,21357,TOAST ITS - DINOSAUR,5,2010-01-04 12:30:00,1.25,14680.0,United Kingdom
493432,37448,CERAMIC CAKE DESIGN SPOTTED MUG,2,2010-01-04 12:30:00,1.49,14680.0,United Kingdom
493432,20726,LUNCH BAG WOODLAND,20,2010-01-04 12:30:00,1.65,14680.0,United Kingdom
